wavelength[m],n,k
2.06641969e-07,2.386,0.0
2.08378456e-07,2.372,0.0
2.1014437500000002e-07,2.359,0.0
2.1194048100000003e-07,2.34675,0.0
2.13767554e-07,2.335,0.0
2.1562640200000003e-07,2.323375,0.0
2.1751786200000003e-07,2.312,0.0
2.1944279900000003e-07,2.300875,0.0
2.21402109e-07,2.29,0.0
2.2339672300000003e-07,2.279375,-1e-06
2.25427602e-07,2.269,0.0
2.2749574500000002e-07,2.258875,5e-06
2.2960218800000001e-07,2.249,9e-06
2.3174800200000003e-07,2.239312,9e-06
2.33934304e-07,2.23,8e-06
2.3616225000000003e-07,2.221375,8e-06
2.38433041e-07,2.213,7e-06
2.40747925e-07,2.204437,7e-06
2.4310819900000004e-07,2.196,6e-06
2.4551521000000003e-07,2.187938,5e-06
2.47970363e-07,2.18,5e-06
2.50475114e-07,2.171875,5e-06
2.53030982e-07,2.164,5e-06
2.55639549e-07,2.156875,4e-06
2.58302461e-07,2.15,4e-06
2.61021434e-07,2.142938,4e-06
2.63798258e-07,2.136,4e-06
2.66634798e-07,2.129437,4e-06
2.6953300300000005e-07,2.123,3e-06
2.7249490400000003e-07,2.116437,3e-06
2.75522625e-07,2.11,3e-06
2.78618385e-07,2.103937,2e-06
2.81784503e-07,2.098,2e-06
2.8502340500000006e-07,2.091937,2e-06
2.88337631e-07,2.086,2e-06
2.91729838e-07,2.080375,2e-06
2.9520281300000004e-07,2.075,2e-06
2.9875947300000006e-07,2.069937,2e-06
3.02402881e-07,2.065,1e-06
3.0613625e-07,2.06,1e-06
3.09962953e-07,2.055,1e-06
3.13886535e-07,2.049938,1e-06
3.1791072100000004e-07,2.045,1e-06
3.22039432e-07,2.040437,1e-06
3.26276793e-07,2.036,1e-06
3.3062715e-07,2.031437,1e-06
3.35095085e-07,2.027,0.0
3.3968542800000003e-07,2.022938,0.0
3.4440328100000003e-07,2.019,0.0
3.49254032e-07,2.015,0.0
3.5424337500000004e-07,2.011,0.0
3.59377337e-07,2.006938,0.0
3.6466229800000006e-07,2.003,0.0
3.7010501900000006e-07,1.999437,0.0
3.75712671e-07,1.996,0.0
3.8149286600000003e-07,1.9925,0.0
3.87453692e-07,1.989,0.0
3.9360375000000003e-07,1.985437,0.0
3.99952198e-07,1.982,0.0
4.06508791e-07,1.978938,0.0
4.13283938e-07,1.976,0.0
4.2028875000000003e-07,1.973,0.0
4.27535108e-07,1.97,0.0
4.3503572400000006e-07,1.967,0.0
4.42804219e-07,1.964,0.0
4.50855205e-07,1.960937,0.0
4.592043750000001e-07,1.958,0.0
4.67868609e-07,1.955437,0.0
4.76866082e-07,1.953,0.0
4.86216397e-07,1.9505,0.0
4.95940725e-07,1.948,0.0
5.06061964e-07,1.9455,0.0
5.16604922e-07,1.942979,0.0
5.27596516e-07,1.940551,0.0
5.390660060000001e-07,1.938417,0.0
5.5104525e-07,1.936123,0.0
5.63569006e-07,1.934,0.0
5.76675262e-07,1.932198,0.0
5.904056250000001e-07,1.93,0.0
6.04805762e-07,1.928,0.0
6.19925906e-07,1.926,0.0
6.358214430000001e-07,1.92469,0.0
6.52553586e-07,1.922228,0.0
6.70190169e-07,1.920677,0.0
6.888065630000001e-07,1.919065,0.0
7.084867500000001e-07,1.917452,0.0
7.293245960000001e-07,1.915839,0.0
7.51425341e-07,1.914226,0.0
7.74907383e-07,1.912613,0.0
7.999043950000001e-07,1.911,0.0
8.26567875e-07,1.90934,0.0
8.55070216e-07,1.908396,0.0
8.85608438e-07,1.907225,0.0
9.184087500000002e-07,1.90562,0.0
9.53732164e-07,1.904389,0.0
9.9188145e-07,1.903235,0.0
1.03320984e-06,1.901942,0.0
1.0781320100000002e-06,1.900588,0.0
1.12713801e-06,1.899236,0.0
1.1808112500000001e-06,1.89815,0.0
1.2398518099999999e-06,1.897195,0.0
1.3051071700000002e-06,1.896174,0.0
1.3776131300000001e-06,1.894698,0.0
1.4586491900000002e-06,1.893194,0.0
1.54981477e-06,1.892121,0.0
1.65313575e-06,1.89113,0.0
1.7712168800000001e-06,1.889969,0.0
1.90746433e-06,1.888091,0.0
2.0664196900000003e-06,1.885693,0.0
2.25427602e-06,1.883669,0.0
2.47970363e-06,1.881237,0.0
