wavelength[m],n,k
2.2960218800000001e-07,1.982322,2.579779
2.3002816600000002e-07,2.003137,2.583763
2.30455727e-07,2.024332,2.587228
2.30884881e-07,2.045892,2.590143
2.31315637e-07,2.067795,2.592477
2.3174800200000003e-07,2.090023,2.594197
2.32181987e-07,2.112548,2.595273
2.3261760100000003e-07,2.135344,2.595676
2.3305485200000004e-07,2.158379,2.595377
2.3349375000000003e-07,2.181621,2.594347
2.33934304e-07,2.205031,2.592563
2.34376524e-07,2.228571,2.59
2.34820419e-07,2.252195,2.586638
2.35265999e-07,2.275862,2.582459
2.35713272e-07,2.299521,2.577448
2.3616225000000003e-07,2.323125,2.571593
2.3661294100000003e-07,2.346618,2.564889
2.3706535600000003e-07,2.369951,2.55733
2.3751950400000003e-07,2.393067,2.54892
2.37975396e-07,2.415913,2.539664
2.38433041e-07,2.43843,2.529572
2.3889245000000004e-07,2.460567,2.51866
2.3935363200000003e-07,2.482269,2.506948
2.3981659800000003e-07,2.503483,2.494461
2.4028135900000004e-07,2.524157,2.481229
2.40747925e-07,2.544246,2.467285
2.4121630600000003e-07,2.563702,2.452668
2.41686513e-07,2.582484,2.437421
2.42158557e-07,2.600554,2.421588
2.4263244900000004e-07,2.617877,2.405218
2.4310819900000004e-07,2.634424,2.388362
2.43585818e-07,2.65017,2.371074
2.44065318e-07,2.665095,2.353407
2.4454670900000003e-07,2.679182,2.335418
2.4503000300000003e-07,2.692423,2.317163
2.4551521000000003e-07,2.704809,2.298698
2.46002344e-07,2.716341,2.280078
2.46491414e-07,2.727022,2.261358
2.46982433e-07,2.736661,2.242851
2.47475412e-07,2.745663,2.224092
2.47970363e-07,2.753849,2.205384
2.4846729700000004e-07,2.761236,2.186778
2.48966227e-07,2.767847,2.168315
2.49467166e-07,2.773706,2.150038
2.4997012400000003e-07,2.778839,2.131984
2.50475114e-07,2.783275,2.11419
2.50982148e-07,2.787045,2.096685
2.5149124000000004e-07,2.790178,2.0795
2.52002401e-07,2.792708,2.06266
2.52515644e-07,2.794667,2.04619
2.53030982e-07,2.796089,2.030106
2.53548428e-07,2.797006,2.014428
2.5406799400000003e-07,2.797452,1.999169
2.54589695e-07,2.797459,1.984341
2.55113542e-07,2.79706,1.969954
2.55639549e-07,2.796285,1.956015
2.5616773e-07,2.795166,1.94253
2.5669809800000005e-07,2.793731,1.929499
2.57230667e-07,2.792011,1.916928
2.5776545e-07,2.790032,1.904812
2.58302461e-07,2.787821,1.893154
2.5884171500000003e-07,2.785403,1.881948
2.59383224e-07,2.782802,1.871193
2.59927005e-07,2.780041,1.860881
2.6047307e-07,2.777143,1.851009
2.61021434e-07,2.774127,1.841568
2.61572112e-07,2.771013,1.832553
2.62125119e-07,2.767819,1.823955
2.6268046900000003e-07,2.764562,1.815766
2.63238177e-07,2.761259,1.807979
2.63798258e-07,2.757925,1.800583
2.64360728e-07,2.754573,1.793571
2.64925601e-07,2.751217,1.786934
2.65492894e-07,2.747869,1.780663
2.66062621e-07,2.74454,1.774747
2.66634798e-07,2.741241,1.769179
2.6720944200000006e-07,2.737982,1.763949
2.67786569e-07,2.734772,1.759049
2.68366193e-07,2.731619,1.75447
2.68948333e-07,2.728531,1.750203
2.6953300300000005e-07,2.725515,1.74624
2.7012022100000005e-07,2.722578,1.742574
2.70710003e-07,2.719725,1.739196
2.71302366e-07,2.716964,1.736099
2.7189732700000004e-07,2.714298,1.733276
2.7249490400000003e-07,2.711733,1.730719
2.7309511300000004e-07,2.709272,1.728423
2.73697972e-07,2.706921,1.726381
2.74303498e-07,2.704683,1.724587
2.7491171000000003e-07,2.702562,1.723035
2.75522625e-07,2.70056,1.721721
2.76136261e-07,2.698682,1.72064
2.76752637e-07,2.69693,1.719787
2.7737177000000007e-07,2.695307,1.719158
2.7799368e-07,2.693817,1.71875
2.78618385e-07,2.692461,1.71856
2.7924590400000003e-07,2.691242,1.718585
2.79876256e-07,2.690164,1.718822
2.8050946e-07,2.68923,1.719271
2.81145536e-07,2.688441,1.719929
2.81784503e-07,2.687802,1.720796
2.82426381e-07,2.687315,1.721872
2.8307119000000003e-07,2.686985,1.723158
2.8371895e-07,2.686816,1.724653
2.84369682e-07,2.68681,1.726361
2.8502340500000006e-07,2.686975,1.728283
2.85680141e-07,2.687314,1.730421
2.86339911e-07,2.687834,1.732782
2.87002734e-07,2.688543,1.735367
2.87668634e-07,2.689449,1.738185
2.88337631e-07,2.690561,1.74124
2.89009747e-07,2.69189,1.74454
2.8968500300000003e-07,2.693449,1.748093
2.9036342200000004e-07,2.695255,1.75191
2.91045027e-07,2.697324,1.755998
2.91729838e-07,2.699678,1.76037
2.9241788000000006e-07,2.702343,1.765035
2.93109176e-07,2.705348,1.770006
2.93803747e-07,2.708729,1.775291
2.9450161800000004e-07,2.712526,1.780901
2.9520281300000004e-07,2.716787,1.786839
2.95907354e-07,2.721568,1.793109
2.9661526600000005e-07,2.72693,1.799704
2.97326574e-07,2.732944,1.806615
2.98041301e-07,2.739688,1.813815
2.9875947300000006e-07,2.747244,1.82127
2.99481114e-07,2.755701,1.828926
3.0020625e-07,2.765146,1.836712
3.0093490600000004e-07,2.775668,1.844536
3.01667108e-07,2.787346,1.852285
3.02402881e-07,2.800251,1.85982
3.03142253e-07,2.814434,1.866981
3.03885248e-07,2.829924,1.873587
3.04631895e-07,2.84672,1.879439
3.0538222000000006e-07,2.864785,1.884323
3.0613625e-07,2.884044,1.888023
3.06894013e-07,2.904375,1.890325
3.07655537e-07,2.925612,1.891025
3.08420849e-07,2.947544,1.889947
3.09189978e-07,2.969916,1.886949
3.09962953e-07,2.992447,1.881935
3.10739803e-07,3.014828,1.874864
3.1152055600000003e-07,3.036741,1.865755
3.12305243e-07,3.057876,1.854688
3.13093892e-07,3.077939,1.841806
3.13886535e-07,3.096672,1.827302
3.1468320100000003e-07,3.113862,1.811415
3.15483922e-07,3.129347,1.794412
3.1628872800000003e-07,3.143022,1.776581
3.1709765e-07,3.154837,1.758212
3.1791072100000004e-07,3.164414,1.740359
3.1872797200000005e-07,3.17257,1.721759
3.1954943600000004e-07,3.179011,1.703398
3.20375145e-07,3.183856,1.685483
3.2120513300000003e-07,3.187242,1.668182
3.22039432e-07,3.189319,1.651635
3.2287807600000005e-07,3.190245,1.635946
3.237211e-07,3.190173,1.621192
3.24568537e-07,3.189252,1.607424
3.2542042300000006e-07,3.187624,1.594674
3.26276793e-07,3.185416,1.582955
3.27137682e-07,3.182749,1.572267
3.2800312500000003e-07,3.179726,1.562602
3.2887316e-07,3.176442,1.553943
3.29747823e-07,3.17298,1.546272
3.3062715e-07,3.16941,1.539569
3.3151118000000003e-07,3.165798,1.533814
3.3239995e-07,3.162198,1.52899
3.33293498e-07,3.158662,1.525085
3.3419186300000004e-07,3.155235,1.522091
3.35095085e-07,3.151963,1.520005
3.36003201e-07,3.14889,1.518834
