wavelength[m],n,k
2.06641969e-07,2.24,1.65
2.08378456e-07,2.351,1.72528
2.1014437500000002e-07,2.4651,1.76624
2.1194048100000003e-07,2.5797,1.77656
2.13767554e-07,2.6922,1.75992
2.1562640200000003e-07,2.8,1.72
2.1751786200000003e-07,2.9006,1.66048
2.1944279900000003e-07,2.9915,1.58504
2.21402109e-07,3.0701,1.49736
2.2339672300000003e-07,3.1338,1.40112
2.25427602e-07,3.18,1.3
2.2749574500000002e-07,3.179,1.202481
2.2960218800000001e-07,3.1623,1.10624
2.3174800200000003e-07,3.1341,1.01376
2.33934304e-07,3.0986,0.92752
2.3616225000000003e-07,3.06,0.85
2.38433041e-07,3.0399,0.8016
2.40747925e-07,3.021,0.7624
2.4310819900000004e-07,3.003,0.7304
2.4551521000000003e-07,2.9861,0.7036
2.47970363e-07,2.97,0.68
2.50475114e-07,2.9557,0.64864
2.53030982e-07,2.9418,0.61872
2.55639549e-07,2.9282,0.59048
2.58302461e-07,2.9143,0.56416
2.61021434e-07,2.9,0.54
2.63798258e-07,2.8823,0.51984
2.66634798e-07,2.8642,0.50192
2.6953300300000005e-07,2.8458,0.48608
2.7249490400000003e-07,2.8277,0.47216
2.75522625e-07,2.81,0.46
2.78618385e-07,2.7941,0.44816
2.81784503e-07,2.779,0.43808
2.8502340500000006e-07,2.765,0.42992
2.88337631e-07,2.7519,0.42384
2.91729838e-07,2.74,0.42
2.9520281300000004e-07,2.7248,0.42624
2.9875947300000006e-07,2.712,0.43312
3.02402881e-07,2.7028,0.43888
3.0613625e-07,2.6984,0.44176
3.09962953e-07,2.7,0.44
3.13886535e-07,2.7254,0.4216
3.1791072100000004e-07,2.7551,0.3976
3.22039432e-07,2.7861,0.3688
3.26276793e-07,2.8154,0.336
3.3062715e-07,2.84,0.3
3.35095085e-07,2.8423,0.25776
3.3968542800000003e-07,2.8378,0.21488
3.4440328100000003e-07,2.827,0.17312
3.49254032e-07,2.8109,0.13424
3.5424337500000004e-07,2.79,0.1
3.59377337e-07,2.7632,0.08368
3.6466229800000006e-07,2.7336,0.07264
3.7010501900000006e-07,2.7024,0.06576
3.75712671e-07,2.6708,0.06192
3.8149286600000003e-07,2.64,0.06
3.87453692e-07,2.6167,0.05568
3.9360375000000003e-07,2.5952,0.05184
3.99952198e-07,2.5754,0.04816
4.06508791e-07,2.557,0.04432
4.13283938e-07,2.54,0.04
4.2028875000000003e-07,2.5229,0.02982
4.27535108e-07,2.5071,0.019785
4.3503572400000006e-07,2.4927,0.010842
4.42804219e-07,2.4799,0.003934
4.50855205e-07,2.4687,7e-06
4.592043750000001e-07,2.4593,7e-06
4.67868609e-07,2.4502,7e-06
4.76866082e-07,2.4414,6e-06
4.86216397e-07,2.433,6e-06
4.95940725e-07,2.4248,5e-06
5.06061964e-07,2.417,4e-06
5.16604922e-07,2.4094,4e-06
5.27596516e-07,2.4021,4e-06
5.390660060000001e-07,2.395,4e-06
5.5104525e-07,2.3882,4e-06
5.63569006e-07,2.3816,4e-06
5.76675262e-07,2.3753,4e-06
5.904056250000001e-07,2.3692,4e-06
6.04805762e-07,2.3633,4e-06
6.19925906e-07,2.3576,4e-06
6.358214430000001e-07,2.352,4e-06
6.52553586e-07,2.3467,4e-06
6.70190169e-07,2.3416,4e-06
6.888065630000001e-07,2.3367,4e-06
7.084867500000001e-07,2.3319,4e-06
7.293245960000001e-07,2.3274,4e-06
7.51425341e-07,2.3229,4e-06
7.74907383e-07,2.3187,4e-06
7.999043950000001e-07,2.3146,4e-06
8.26567875e-07,2.3107,3e-06
8.55070216e-07,2.3069,3e-06
8.85608438e-07,2.3033,3e-06
9.184087500000002e-07,2.2998,3e-06
9.53732164e-07,2.2965,3e-06
9.9188145e-07,2.2933,3e-06
1.03320984e-06,2.2903,0.0
1.0781320100000002e-06,2.2874,0.0
1.12713801e-06,2.2846,0.0
1.1808112500000001e-06,2.282,0.0
1.2398518099999999e-06,2.2795,0.0
