wavelength[m],n,k
1.9074643300000002e-07,2.263686,2.363589
1.9222508700000001e-07,2.314424,2.292655
1.93726846e-07,2.361286,2.210321
1.95252254e-07,2.404123,2.118806
1.9680187500000001e-07,2.442783,2.020334
1.9837629000000002e-07,2.477114,1.917125
1.99976099e-07,2.506964,1.811399
2.01601921e-07,2.532184,1.705379
2.0325439600000004e-07,2.552621,1.601284
2.04934184e-07,2.569461,1.497639
2.06641969e-07,2.57854,1.407757
2.08378456e-07,2.574317,1.348757
2.1014437500000002e-07,2.562103,1.30776
2.1194048100000003e-07,2.545148,1.277589
2.13767554e-07,2.524101,1.258251
2.1562640200000003e-07,2.500401,1.247573
2.1751786200000003e-07,2.474929,1.244918
2.1944279900000003e-07,2.448702,1.249295
2.21402109e-07,2.42276,1.259594
2.2339672300000003e-07,2.39812,1.274812
2.25427602e-07,2.375867,1.29363
2.2749574500000002e-07,2.357197,1.314192
2.2960218800000001e-07,2.34279,1.33711
2.3174800200000003e-07,2.332339,1.363981
2.33934304e-07,2.33,1.39
2.3616225000000003e-07,2.341386,1.408831
2.38433041e-07,2.361815,1.426674
2.40747925e-07,2.388497,1.447423
2.4310819900000004e-07,2.421369,1.471656
2.4551521000000003e-07,2.459872,1.498129
2.47970363e-07,2.502703,1.536192
2.50475114e-07,2.548139,1.601099
2.53030982e-07,2.596871,1.673888
2.55639549e-07,2.647219,1.758185
2.58302461e-07,2.70457,1.801492
2.61021434e-07,2.775836,1.739461
2.63798258e-07,2.854768,1.611269
2.66634798e-07,2.93957,1.421469
2.6953300300000005e-07,3.023804,1.209596
2.7249490400000003e-07,3.102173,1.007526
2.75522625e-07,3.169447,0.842805
2.78618385e-07,3.218045,0.757822
2.81784503e-07,3.249721,0.739945
2.8502340500000006e-07,3.259709,0.817874
2.88337631e-07,3.26,0.91
2.91729838e-07,3.262435,0.931096
2.9520281300000004e-07,3.262703,0.920719
2.9875947300000006e-07,3.260324,0.889213
3.02402881e-07,3.255651,0.838992
3.0613625e-07,3.248844,0.76959
3.09962953e-07,3.24,0.7
3.13886535e-07,3.229195,0.655028
3.1791072100000004e-07,3.216647,0.616771
3.22039432e-07,3.202553,0.574221
3.26276793e-07,3.187057,0.531505
3.3062715e-07,3.170318,0.488967
3.35095085e-07,3.152493,0.446951
3.3968542800000003e-07,3.134317,0.405248
3.4440328100000003e-07,3.11422,0.365855
3.49254032e-07,3.090968,0.330447
3.5424337500000004e-07,3.06429,0.299778
3.59377337e-07,3.032292,0.276156
3.6466229800000006e-07,2.998605,0.256599
3.7010501900000006e-07,2.966273,0.238691
3.75712671e-07,2.935168,0.223047
3.8149286600000003e-07,2.905956,0.209525
3.87453692e-07,2.879303,0.197981
3.9360375000000003e-07,2.855876,0.188273
3.99952198e-07,2.836339,0.180259
4.06508791e-07,2.821358,0.173796
4.13283938e-07,2.811599,0.168741
4.2028875000000003e-07,2.807259,0.164818
4.27535108e-07,2.810413,0.162286
4.3503572400000006e-07,2.824545,0.161805
4.42804219e-07,2.845623,0.161894
4.50855205e-07,2.876654,0.163378
4.592043750000001e-07,2.9,0.16
4.67868609e-07,2.894958,0.143873
4.76866082e-07,2.873726,0.120709
4.86216397e-07,2.837931,0.091041
4.95940725e-07,2.79858,0.062518
5.06061964e-07,2.769035,0.044422
5.16604922e-07,2.74385,0.032388
5.27596516e-07,2.722504,0.025625
5.390660060000001e-07,2.703581,0.022694
5.5104525e-07,2.685329,0.02191
5.63569006e-07,2.668236,0.023214
5.76675262e-07,2.652229,0.026141
5.904056250000001e-07,2.637235,0.030225
6.04805762e-07,2.623247,0.036037
6.19925906e-07,2.61,0.04
6.358214430000001e-07,2.597147,0.037247
6.52553586e-07,2.584919,0.032215
6.70190169e-07,2.573468,0.028033
6.888065630000001e-07,2.562692,0.023753
7.084867500000001e-07,2.552551,0.019446
7.293245960000001e-07,2.543006,0.015184
7.51425341e-07,2.534017,0.011037
7.74907383e-07,2.525546,0.007076
7.999043950000001e-07,2.517553,0.003031
8.26567875e-07,2.51,0.0
8.55070216e-07,2.502847,0.0
8.85608438e-07,2.496054,0.0
9.184087500000002e-07,2.489583,0.0
9.53732164e-07,2.483394,0.0
9.9188145e-07,2.477449,0.0
1.03320984e-06,2.471708,0.0
1.0781320100000002e-06,2.466131,0.0
1.12713801e-06,2.46068,0.0
1.1808112500000001e-06,2.455316,0.0
1.2398518099999999e-06,2.45,0.0
