wavelength[m],n,k
1.9680187500000001e-07,1.416431,2.535588
1.97193131e-07,1.428376,2.545485
1.9758594600000002e-07,1.440664,2.555389
1.9798032900000003e-07,1.453304,2.565287
1.9837629000000002e-07,1.466308,2.575171
1.9877383800000002e-07,1.479685,2.58503
1.99172982e-07,1.493447,2.594853
1.9957373200000002e-07,1.507605,2.604627
1.99976099e-07,1.522013,2.614679
2.00380091e-07,1.536993,2.624313
2.0078571900000002e-07,1.552399,2.633855
2.0119299200000002e-07,1.568243,2.643286
2.01601921e-07,1.584534,2.652591
2.02012515e-07,1.601282,2.661748
2.0242478600000003e-07,1.618494,2.670739
2.02838742e-07,1.63618,2.67954
2.0325439600000004e-07,1.654348,2.688129
2.03671756e-07,1.673003,2.696481
2.0409083300000003e-07,1.692151,2.70457
2.04511639e-07,1.711798,2.712368
2.04934184e-07,1.731945,2.719847
2.05358478e-07,1.752595,2.726977
2.05784533e-07,1.773749,2.733726
2.0621236e-07,1.795402,2.74006
2.06641969e-07,1.817554,2.745946
2.0707337200000002e-07,1.840195,2.751348
2.0750658000000002e-07,1.863318,2.756231
2.0794160400000002e-07,1.886913,2.760556
2.08378456e-07,1.910964,2.764287
2.0881714700000001e-07,1.935454,2.767384
2.0925769000000002e-07,1.960363,2.769809
2.09700095e-07,1.985666,2.771523
2.1014437500000002e-07,2.011337,2.772489
2.10590541e-07,2.037341,2.772667
2.11038606e-07,2.063648,2.772024
2.1148858200000001e-07,2.090215,2.770522
2.1194048100000003e-07,2.117,2.76813
2.1239431500000002e-07,2.143958,2.764816
2.12850097e-07,2.171035,2.760553
2.1330783900000002e-07,2.198182,2.755315
2.13767554e-07,2.225336,2.749084
2.14229255e-07,2.25244,2.741841
2.1469295500000002e-07,2.279431,2.733576
2.1515866600000003e-07,2.306243,2.72428
2.1562640200000003e-07,2.332809,2.713954
2.1609617700000004e-07,2.359059,2.702601
2.1656800200000002e-07,2.384927,2.690232
2.17041893e-07,2.410344,2.676863
2.1751786200000003e-07,2.43524,2.662517
2.1799592300000003e-07,2.45955,2.647223
2.1847609e-07,2.483208,2.631015
2.1895837800000002e-07,2.506153,2.613935
2.1944279900000003e-07,2.528329,2.596026
2.1992936800000002e-07,2.549679,2.577344
2.2041810000000003e-07,2.570155,2.557941
2.2090900900000002e-07,2.589713,2.537879
2.21402109e-07,2.608313,2.517222
2.2189741600000002e-07,2.625924,2.496034
2.2239494400000004e-07,2.642517,2.474385
2.22894708e-07,2.658073,2.452344
2.2339672300000003e-07,2.672577,2.429984
2.23901005e-07,2.686021,2.407374
2.24407568e-07,2.698403,2.384582
2.24916429e-07,2.709726,2.361681
2.25427602e-07,2.720001,2.338735
2.25941105e-07,2.729045,2.316063
2.26456952e-07,2.737265,2.293224
2.2697516e-07,2.744493,2.270526
2.2749574500000002e-07,2.750757,2.248026
2.28018724e-07,2.756086,2.225775
2.2854411300000002e-07,2.760514,2.203822
2.2907192800000003e-07,2.764078,2.182209
2.2960218800000001e-07,2.766815,2.160978
2.3013490700000002e-07,2.768765,2.140164
2.3067010500000002e-07,2.769968,2.1198
2.3120779700000002e-07,2.770466,2.099914
2.3174800200000003e-07,2.7703,2.08053
2.3229073800000003e-07,2.769511,2.061669
2.32836021e-07,2.768142,2.04335
2.33383871e-07,2.766233,2.025586
2.33934304e-07,2.763823,2.008389
2.34487341e-07,2.760952,1.991768
2.3504299800000001e-07,2.757658,1.975728
2.35601295e-07,2.753978,1.960275
2.3616225000000003e-07,2.749947,1.945408
2.3672588300000002e-07,2.7456,1.93113
2.37292213e-07,2.740968,1.917437
2.37861259e-07,2.736082,1.904325
2.38433041e-07,2.730973,1.891791
2.39007578e-07,2.725669,1.879829
2.3958489100000004e-07,2.720195,1.868431
2.4016500000000003e-07,2.714578,1.857591
2.40747925e-07,2.70884,1.847299
2.4133368600000003e-07,2.703005,1.837547
2.4192230500000004e-07,2.697092,1.828325
2.42513802e-07,2.691123,1.819625
2.4310819900000004e-07,2.685113,1.811436
2.43705516e-07,2.679082,1.803747
2.44305776e-07,2.673045,1.79655
2.44909e-07,2.667017,1.789833
2.4551521000000003e-07,2.661012,1.783588
2.46124429e-07,2.655043,1.777804
2.46736679e-07,2.649122,1.772471
2.47351983e-07,2.64326,1.767581
2.47970363e-07,2.637469,1.763123
2.4859184200000004e-07,2.631756,1.759091
2.49216445e-07,2.626133,1.755474
2.49844194e-07,2.620607,1.752266
2.50475114e-07,2.615187,1.749459
2.5110922800000004e-07,2.609881,1.747046
2.5174656100000003e-07,2.604695,1.74502
2.52387137e-07,2.599636,1.743375
2.53030982e-07,2.594712,1.742107
2.5367812000000004e-07,2.589929,1.741209
2.54328577e-07,2.585294,1.740678
2.54982378e-07,2.580812,1.74051
2.55639549e-07,2.576489,1.740701
2.5630011600000004e-07,2.572334,1.74125
2.56964106e-07,2.568352,1.742154
2.57631546e-07,2.56455,1.743412
2.58302461e-07,2.560935,1.745023
2.5897688e-07,2.557515,1.746987
2.5965483e-07,2.554299,1.749305
2.60336339e-07,2.551294,1.751979
2.61021434e-07,2.548511,1.755009
2.6171014500000003e-07,2.54596,1.758399
2.624025e-07,2.543653,1.762152
2.6309852800000003e-07,2.541602,1.766271
2.63798258e-07,2.539823,1.77076
2.6450172e-07,2.538329,1.775624
2.65208944e-07,2.53714,1.780867
2.6591996e-07,2.536274,1.786494
2.66634798e-07,2.535753,1.792511
2.6735349100000003e-07,2.535602,1.798922
2.6807606800000003e-07,2.535847,1.805731
2.6880256100000005e-07,2.536518,1.812943
2.6953300300000005e-07,2.537648,1.820559
2.7026742500000003e-07,2.539275,1.828581
2.71005861e-07,2.541439,1.837007
2.71748343e-07,2.544183,1.845834
2.7249490400000003e-07,2.547558,1.855056
2.7324557900000004e-07,2.551616,1.86466
2.74000401e-07,2.556415,1.87463
2.74759405e-07,2.562017,1.884945
2.75522625e-07,2.568489,1.895572
2.7629009800000003e-07,2.5759,1.906474
2.77061858e-07,2.584324,1.9176
2.77837941e-07,2.593837,1.928888
2.78618385e-07,2.604517,1.940262
2.79403225e-07,2.616438,1.951629
2.8019250000000004e-07,2.629675,1.96288
2.80986247e-07,2.644295,1.973881
2.81784503e-07,2.660351,1.984481
2.82587308e-07,2.677884,1.994502
2.833947e-07,2.696912,2.003746
2.8420671900000004e-07,2.717419,2.011992
2.8502340500000006e-07,2.739353,2.019003
2.8584479800000006e-07,2.762614,2.024533
2.86670939e-07,2.787051,2.028335
2.8750187e-07,2.812454,2.030176
2.88337631e-07,2.838554,2.029852
2.89178265e-07,2.86503,2.027203
2.90023816e-07,2.891511,2.022134
2.9087432600000003e-07,2.917602,2.01462
2.91729838e-07,2.942896,2.004725
2.92590398e-07,2.966992,1.992598
2.9345605e-07,2.989529,1.97847
2.9432684000000004e-07,3.010195,1.96265
2.9520281300000004e-07,3.028418,1.946286
2.9608401500000005e-07,3.044707,1.928225
2.96970494e-07,3.058654,1.909648
2.97862297e-07,3.070268,1.890964
2.9875947300000006e-07,3.079632,1.872559
2.9966207000000007e-07,3.086891,1.854783
3.00570136e-07,3.092241,1.837939
3.0148372400000003e-07,3.095913,1.822283
3.02402881e-07,3.09816,1.808017
3.03327661e-07,3.099248,1.795296
3.04258114e-07,3.099447,1.784231
3.0519429200000005e-07,3.099024,1.774892
3.0613625e-07,3.098236,1.767316
3.0708404e-07,3.097334,1.761512
3.0803771700000003e-07,3.096554,1.757465
3.0899733700000006e-07,3.096126,1.755139
3.09962953e-07,3.096267,1.754483
3.10934624e-07,3.097188,1.75543
3.11912406e-07,3.099094,1.757899
3.12896357e-07,3.102184,1.761794
3.13886535e-07,3.106656,1.767007
3.14883e-07,3.112707,1.773409
3.15885812e-07,3.12053,1.780852
3.16895032e-07,3.130319,1.789168
3.1791072100000004e-07,3.142263,1.798155
3.1893294200000004e-07,3.156546,1.807584
3.19961758e-07,3.17334,1.817186
3.20997233e-07,3.192795,1.826651
3.22039432e-07,3.215037,1.835626
3.2308842e-07,3.240147,1.843708
3.2414426500000006e-07,3.268153,1.850456
3.25207033e-07,3.299007,1.85539
3.26276793e-07,3.332582,1.85801
3.27353614e-07,3.368645,1.857806
3.28437566e-07,3.406861,1.85429
3.2952872100000003e-07,3.446782,1.847018
3.3062715e-07,3.487857,1.835622
3.3173292700000005e-07,3.529451,1.819836
3.32846124e-07,3.570865,1.799525
3.33966818e-07,3.611374,1.774694
3.35095085e-07,3.650255,1.745502
3.36231e-07,3.686839,1.712249
3.37374643e-07,3.720529,1.675366
3.38526092e-07,3.750847,1.63538
3.3968542800000003e-07,3.777433,1.592894
3.4085273200000005e-07,3.800065,1.54854
3.42028086e-07,3.81865,1.502951
3.43211575e-07,3.833217,1.456737
3.4440328100000003e-07,3.843895,1.410448
3.45603293e-07,3.850895,1.364575
3.4681169600000003e-07,3.854486,1.319529
3.48028579e-07,3.854974,1.275648
3.49254032e-07,3.852686,1.233192
3.50488145e-07,3.847954,1.192347
3.5173101100000005e-07,3.841101,1.153248
3.5298272300000006e-07,3.832436,1.115968
3.5424337500000004e-07,3.821542,1.080333
3.55513065e-07,3.810098,1.046768
3.5679188900000003e-07,3.797625,1.015023
3.58079946e-07,3.784332,0.985048
3.59377337e-07,3.770403,0.956778
3.6068416400000004e-07,3.755999,0.930138
3.62000529e-07,3.741257,0.905048
3.6332653900000006e-07,3.726296,0.881419
3.6466229800000006e-07,3.711217,0.859168
3.6600791500000004e-07,3.696103,0.838206
3.673635e-07,3.681027,0.818451
3.6872916400000003e-07,3.666047,0.799822
3.7010501900000006e-07,3.651211,0.782239
3.7149118e-07,3.63656,0.765629
3.7288776300000004e-07,3.622125,0.749922
3.7429488700000004e-07,3.607542,0.735162
3.75712671e-07,3.593589,0.721069
3.7714123600000004e-07,3.579907,0.707692
3.7858070600000007e-07,3.566374,0.695014
3.8003120700000003e-07,3.552952,0.682904
3.8149286600000003e-07,3.540125,0.671359
3.82965811e-07,3.527586,0.66033
3.8445017500000003e-07,3.515332,0.649774
3.8594609000000004e-07,3.503354,0.639653
3.87453692e-07,3.491645,0.629931
3.88973118e-07,3.480189,0.620574
3.90504508e-07,3.46897,0.611553
3.9204800400000003e-07,3.457965,0.60284
3.9360375000000003e-07,3.447146,0.594414
3.9517189300000005e-07,3.436476,0.58626
3.9675258000000004e-07,3.425906,0.578373
3.98345964e-07,3.415371,0.570769
3.99952198e-07,3.404784,0.563493
4.0157143700000004e-07,3.394025,0.556659
4.03203842e-07,3.382946,0.550512
4.0484957200000006e-07,3.371414,0.545588
4.06508791e-07,3.359597,0.543052
4.08181667e-07,3.349279,0.545023
4.09868368e-07,3.347359,0.552395
4.1156906700000003e-07,3.359682,0.549946
4.13283938e-07,3.364742,0.527934
4.15013159e-07,3.354571,0.507657
4.16756912e-07,3.340435,0.495009
4.1851538000000004e-07,3.327006,0.486771
4.2028875000000003e-07,3.314905,0.480705
4.22077213e-07,3.303959,0.475772
4.2388096200000006e-07,3.293933,0.471486
4.25700193e-07,3.284647,0.467605
4.27535108e-07,3.275966,0.463998
4.2938590900000004e-07,3.267798,0.460587
4.3125280400000006e-07,3.260074,0.457325
4.3313600500000004e-07,3.252743,0.45418
4.3503572400000006e-07,3.245766,0.451128
4.3695218100000003e-07,3.239112,0.448154
4.3888559700000005e-07,3.232757,0.445243
4.4083620000000005e-07,3.226681,0.442385
4.42804219e-07,3.220869,0.43957
4.4478988800000007e-07,3.215305,0.43679
4.4679344600000005e-07,3.209979,0.434039
4.48815136e-07,3.20488,0.431309
4.50855205e-07,3.199564,0.428669
4.52913904e-07,3.194746,0.425972
4.5499149100000004e-07,3.190275,0.423271
4.5708822600000005e-07,3.186,0.420568
4.592043750000001e-07,3.181498,0.417882
4.6134020900000004e-07,3.177614,0.415158
4.6349600500000005e-07,3.17391,0.412416
4.65672042e-07,3.170228,0.409677
4.67868609e-07,3.166866,0.406883
4.700859950000001e-07,3.163671,0.404054
4.7232450000000005e-07,3.160639,0.401186
4.74584426e-07,3.157767,0.398273
4.76866082e-07,3.155051,0.395308
4.79169783e-07,3.152487,0.392287
4.8149585e-07,3.150074,0.389203
4.838446100000001e-07,3.147806,0.38605
4.86216397e-07,3.145682,0.382822
4.88611552e-07,3.143698,0.379512
4.910304210000001e-07,3.14185,0.376112
4.93473358e-07,3.140136,0.372616
4.95940725e-07,3.138551,0.369016
4.9843289e-07,3.137093,0.365304
5.00950227e-07,3.135756,0.36147
5.034931220000001e-07,3.134537,0.357506
5.06061964e-07,3.133431,0.353403
5.08657154e-07,3.132433,0.349148
5.11279098e-07,3.131536,0.344732
5.13928213e-07,3.130736,0.340141
5.16604922e-07,3.130023,0.335364
5.1930966e-07,3.129389,0.330385
5.22042869e-07,3.128824,0.325188
5.24805e-07,3.128317,0.319759
5.27596516e-07,3.127851,0.314076
5.30417888e-07,3.127411,0.308122
5.33269597e-07,3.126974,0.301873
5.361521350000001e-07,3.126513,0.295306
5.390660060000001e-07,3.125993,0.288394
5.42011721e-07,3.125371,0.281112
5.449898080000001e-07,3.124588,0.273431
5.48000801e-07,3.123569,0.265324
5.5104525e-07,3.122208,0.25677
5.54123715e-07,3.120361,0.247763
5.5723677e-07,3.117821,0.238332
5.603850000000001e-07,3.114294,0.228581
5.63569006e-07,3.109352,0.218791
5.667894e-07,3.101812,0.210032
5.700468110000001e-07,3.092225,0.203467
5.73341879e-07,3.080911,0.203332
5.76675262e-07,3.075975,0.215293
5.80047632e-07,3.097882,0.22864
5.834596770000001e-07,3.132593,0.203397
5.86912101e-07,3.132991,0.158789
5.904056250000001e-07,3.113542,0.129125
5.93940988e-07,3.091554,0.11213
5.975189460000001e-07,3.07236,0.102133
6.01140273e-07,3.055558,0.095596
6.04805762e-07,3.040722,0.09097
6.08516227e-07,3.027428,0.087479
6.122725e-07,3.015347,0.084706
6.160754350000001e-07,3.004236,0.082412
6.19925906e-07,2.993918,0.080454
6.23824812e-07,2.984257,0.07874
6.2777307e-07,2.975151,0.077208
6.31771624e-07,2.966522,0.075817
6.358214430000001e-07,2.958306,0.074537
6.39923516e-07,2.950453,0.073346
6.44078864e-07,2.942923,0.07223
6.482885300000001e-07,2.935681,0.071174
6.52553586e-07,2.9287,0.070172
6.56875133e-07,2.921955,0.069213
6.612543e-07,2.915427,0.068294
6.65692249e-07,2.909097,0.067409
6.70190169e-07,2.902951,0.066554
6.74749286e-07,2.896975,0.065726
6.793708560000001e-07,2.891159,0.064923
6.84056173e-07,2.88549,0.064142
6.888065630000001e-07,2.879962,0.06338
6.936233920000001e-07,2.874565,0.062638
6.98508064e-07,2.869292,0.061912
7.034620220000001e-07,2.864136,0.061203
7.084867500000001e-07,2.859092,0.060508
7.135837770000001e-07,2.854154,0.059828
7.18754674e-07,2.849317,0.05916
7.240010590000001e-07,2.844577,0.058504
7.293245960000001e-07,2.839928,0.05786
7.34727e-07,2.835369,0.057228
7.402100380000001e-07,2.830895,0.056605
7.457755270000001e-07,2.826502,0.055993
7.51425341e-07,2.822188,0.05539
7.571614120000001e-07,2.81795,0.054796
7.629857310000001e-07,2.813785,0.054211
7.689003490000001e-07,2.809691,0.053634
7.74907383e-07,2.805665,0.053066
7.81009016e-07,2.801541,0.052501
7.872075000000001e-07,2.797649,0.051948
7.935051600000001e-07,2.793819,0.051402
7.999043950000001e-07,2.79005,0.050863
8.06407683e-07,2.78634,0.050331
8.13017582e-07,2.782686,0.049805
8.19736736e-07,2.779088,0.049286
8.26567875e-07,2.775057,0.048763
8.33513824e-07,2.771575,0.048257
8.405775000000001e-07,2.767744,0.047724
8.477619230000001e-07,2.764364,0.047229
8.55070216e-07,2.761033,0.046739
