wavelength[m],n,k
2.5000000000000004e-07,2.645987,0.0
2.6e-07,2.60254,0.0
2.7e-07,2.560349,0.0
2.8e-07,2.520518,0.0
2.9000000000000003e-07,2.483872,0.0
3.0000000000000004e-07,2.450891,0.0
3.1e-07,2.421708,0.0
3.2e-07,2.396158,0.0
3.3e-07,2.373872,0.0
3.4000000000000003e-07,2.354373,0.0
3.5000000000000004e-07,2.337176,0.0
3.6000000000000005e-07,2.321855,0.0
3.7e-07,2.308074,0.0
3.8e-07,2.295607,0.0
3.9e-07,2.284314,0.0
4.0000000000000003e-07,2.274125,0.0
4.1000000000000004e-07,2.265008,0.0
4.2e-07,2.256948,0.0
4.3e-07,2.249925,0.0
4.4e-07,2.243907,0.0
4.5000000000000003e-07,2.23884,0.0
4.6000000000000004e-07,2.234651,0.0
4.7000000000000005e-07,2.231248,0.0
4.800000000000001e-07,2.228526,0.0
4.900000000000001e-07,2.226371,0.0
5.000000000000001e-07,2.224667,0.0
5.1e-07,2.2233,0.0
5.2e-07,2.222164,0.0
5.3e-07,2.221166,0.0
5.4e-07,2.220222,0.0
5.5e-07,2.219266,0.0
5.6e-07,2.218247,0.0
5.7e-07,2.217131,0.0
5.800000000000001e-07,2.215897,0.0
5.900000000000001e-07,2.214538,0.0
6.000000000000001e-07,2.213061,0.0
6.100000000000001e-07,2.21148,0.0
6.2e-07,2.209815,0.0
6.3e-07,2.20809,0.0
6.4e-07,2.206327,0.0
6.5e-07,2.204549,0.0
6.6e-07,2.202774,0.0
6.7e-07,2.201017,0.0
6.800000000000001e-07,2.199288,0.0
6.900000000000001e-07,2.197595,0.0
7.000000000000001e-07,2.195942,0.0
7.100000000000001e-07,2.19433,0.0
7.200000000000001e-07,2.19276,0.0
7.3e-07,2.191232,0.0
7.4e-07,2.189747,0.0
7.5e-07,2.188303,0.0
7.6e-07,2.186899,0.0
7.7e-07,2.185531,0.0
7.8e-07,2.184192,0.0
7.900000000000001e-07,2.182873,0.0
8.000000000000001e-07,2.18156,0.0
8.100000000000001e-07,2.180242,0.0
8.200000000000001e-07,2.178911,0.0
8.300000000000001e-07,2.177562,0.0
8.4e-07,2.176197,0.0
8.5e-07,2.174822,0.0
